,season,Lg,Team,W,L,W_L_Pct,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top_WS,TRtg,WP82G
84,2012-13,NBA,Boston Celtics*,41,40,0.506,3rd of 5,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,Lost E. Conf. 1st Rnd.,D. Rivers (41-40),"P. Pierce ,7.2",-0.20000000000000284,41.492
85,2011-12,NBA,Boston Celtics*,39,27,0.591,1st of 5,2.26,90.4,-0.9,101.0,-3.6,98.2,-6.4,Lost E. Conf. Finals,D. Rivers (39-27),"P. Pierce ,7.0",2.799999999999997,48.461999999999996
86,2010-11,NBA,Boston Celtics*,56,26,0.683,1st of 5,4.83,90.4,-1.7,106.2,-1.1,100.3,-7.0,Lost E. Conf. Semis,D. Rivers (56-26),"P. Pierce ,11.6",5.900000000000006,56.00600000000001
87,2009-10,NBA,Boston Celtics*,50,32,0.61,1st of 5,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,Lost Finals,D. Rivers (50-32),"R. Rondo ,9.6",3.9000000000000057,50.019999999999996
88,2008-09,NBA,Boston Celtics*,62,20,0.756,1st of 5,7.44,90.4,-1.3,110.5,2.2,102.3,-6.0,Lost E. Conf. Semis,D. Rivers (62-20),"R. Allen ,11.1",8.200000000000003,61.992
89,2007-08,NBA,Boston Celtics*,66,16,0.805,1st of 5,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,Won Finals,D. Rivers (66-16),"K. Garnett ,12.9",11.299999999999997,66.01
90,2006-07,NBA,Boston Celtics,24,58,0.293,5th of 5,-3.7,92.0,0.1,103.2,-3.3,106.9,0.4,No,D. Rivers (24-58),"A. Jefferson ,6.6",-3.700000000000003,24.026
91,2005-06,NBA,Boston Celtics,33,49,0.402,3rd of 5,-1.59,92.2,1.7,105.2,-1.0,106.9,0.7,No,D. Rivers (33-49),"P. Pierce ,11.5",-1.7000000000000028,32.964
92,2004-05,NBA,Boston Celtics*,45,37,0.549,1st of 5,0.35,93.3,2.4,107.5,1.4,106.6,0.5,Lost E. Conf. 1st Rnd.,D. Rivers (45-37),"P. Pierce ,11.2",0.9000000000000057,45.018
93,2003-04,NBA,Boston Celtics*,36,46,0.439,4th of 7,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8,Lost E. Conf. 1st Rnd.,"J. O'Brien (22-24), J. Carroll (14-22)","P. Pierce ,7.1",-1.6000000000000085,35.998
94,2002-03,NBA,Boston Celtics*,44,38,0.537,3rd of 7,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2.0,Lost E. Conf. Semis,J. O'Brien (44-38),"P. Pierce ,10.1",-0.3999999999999915,44.034000000000006
95,2001-02,NBA,Boston Celtics*,49,33,0.598,2nd of 7,1.75,92.5,1.8,103.4,-1.1,101.0,-3.5,Lost E. Conf. Finals,J. O'Brien (49-33),"P. Pierce ,12.9",2.4000000000000057,49.036
96,2000-01,NBA,Boston Celtics,36,46,0.439,5th of 7,-2.4,92.6,1.3,101.4,-1.6,103.7,0.7,No,"R. Pitino (12-22), J. O'Brien (24-24)","P. Pierce ,10.4",-2.299999999999997,35.998
97,1999-00,NBA,Boston Celtics,35,47,0.427,5th of 7,-1.0,94.6,1.5,104.8,0.7,105.6,1.5,No,R. Pitino (35-47),"P. Pierce ,8.2",-0.7999999999999972,35.013999999999996
98,1998-99,NBA,Boston Celtics,19,31,0.38,5th of 7,-1.75,91.5,2.6,100.4,-1.8,102.4,0.2,No,R. Pitino (19-31),"P. Pierce ,4.9",-2.0,31.16
99,1997-98,NBA,Boston Celtics,36,46,0.439,6th of 7,-1.96,93.3,3.0,102.6,-2.4,105.4,0.4,No,R. Pitino (36-46),"D. Barros ,5.6",-2.8000000000000114,35.998
100,1996-97,NBA,Boston Celtics,15,67,0.183,7th of 7,-6.62,95.8,5.7,103.9,-2.8,111.4,4.7,No,M. Carr (15-67),"D. Wesley ,6.1",-7.5,15.006
101,1995-96,NBA,Boston Celtics,33,49,0.402,5th of 7,-3.37,96.2,4.4,106.4,-1.2,109.9,2.3,No,M. Carr (33-49),"D. Wesley ,6.3",-3.5,32.964
102,1994-95,NBA,Boston Celtics*,35,47,0.427,3rd of 7,-1.92,94.0,1.1,108.6,0.3,110.6,2.3,Lost E. Conf. 1st Rnd.,C. Ford (35-47),"D. Brown ,6.8",-2.0,35.013999999999996
103,1993-94,NBA,Boston Celtics,32,50,0.39,5th of 7,-4.28,95.6,0.5,104.2,-2.1,108.7,2.4,No,C. Ford (32-50),"D. Brown ,6.4",-4.5,31.98
104,1992-93,NBA,Boston Celtics*,48,34,0.585,2nd of 7,0.93,94.9,-1.9,108.7,0.7,107.8,-0.2,Lost E. Conf. 1st Rnd.,C. Ford (48-34),"R. Lewis ,8.3",0.9000000000000057,47.97
105,1991-92,NBA,Boston Celtics*,51,31,0.622,1st of 7,3.41,95.8,-0.8,110.8,2.6,107.0,-1.2,Lost E. Conf. Semis,C. Ford (51-31),"R. Lewis ,9.1",3.799999999999997,51.004
106,1990-91,NBA,Boston Celtics*,56,26,0.683,1st of 6,5.22,98.5,0.7,112.6,4.7,106.7,-1.2,Lost E. Conf. Semis,C. Ford (56-26),"R. Parish ,10.0",5.8999999999999915,56.00600000000001
107,1989-90,NBA,Boston Celtics*,52,30,0.634,2nd of 6,3.23,98.2,-0.1,112.0,3.9,107.9,-0.2,Lost E. Conf. 1st Rnd.,J. Rodgers (52-30),"K. McHale ,11.1",4.099999999999994,51.988
108,1988-89,NBA,Boston Celtics*,42,40,0.512,3rd of 6,1.26,98.1,-2.5,110.8,3.0,109.6,1.8,Lost E. Conf. 1st Rnd.,J. Rodgers (42-40),"R. Parish ,10.5",1.2000000000000028,41.984
109,1987-88,NBA,Boston Celtics*,57,25,0.695,1st of 5,6.15,97.9,-1.7,115.4,7.4,109.4,1.4,Lost E. Conf. Finals,K. Jones (57-25),"L. Bird ,15.0",6.0,56.989999999999995
110,1986-87,NBA,Boston Celtics*,59,23,0.72,1st of 5,6.57,98.6,-2.2,113.5,5.2,106.8,-1.5,Lost Finals,K. Jones (59-23),"L. Bird ,15.2",6.700000000000003,59.04
111,1985-86,NBA,Boston Celtics*,67,15,0.817,1st of 5,9.06,101.2,-0.9,111.8,4.6,102.6,-4.6,Won Finals,K. Jones (67-15),"L. Bird ,15.8",9.200000000000003,66.994
112,1984-85,NBA,Boston Celtics*,63,19,0.768,1st of 5,6.47,101.6,-0.5,112.8,4.9,106.3,-1.6,Lost Finals,K. Jones (63-19),"L. Bird ,15.7",6.5,62.976
113,1983-84,NBA,Boston Celtics*,62,20,0.756,1st of 5,6.42,99.7,-1.7,110.9,3.3,104.4,-3.2,Won Finals,K. Jones (62-20),"L. Bird ,13.6",6.5,61.992
114,1982-83,NBA,Boston Celtics*,56,26,0.683,2nd of 5,5.34,104.0,0.9,106.9,2.2,101.8,-2.9,Lost E. Conf. Semis,B. Fitch (56-26),"L. Bird ,14.0",5.1000000000000085,56.00600000000001
115,1981-82,NBA,Boston Celtics*,63,19,0.768,1st of 5,6.35,101.5,0.6,109.8,2.9,103.5,-3.4,Lost E. Conf. Finals,B. Fitch (63-19),"L. Bird ,12.5",6.299999999999997,62.976
116,1980-81,NBA,Boston Celtics*,62,20,0.756,1st of 5,6.05,100.8,-1.0,108.4,2.9,102.6,-2.9,Won Finals,B. Fitch (62-20),"C. Maxwell ,11.0",5.800000000000011,61.992
117,1979-80,NBA,Boston Celtics*,61,21,0.744,1st of 5,7.37,102.6,-0.5,109.4,4.1,101.9,-3.4,Lost E. Conf. Finals,B. Fitch (61-21),"C. Maxwell ,12.2",7.5,61.008
118,1978-79,NBA,Boston Celtics,29,53,0.354,5th of 5,-4.78,106.5,0.7,101.6,-2.2,106.4,2.6,No,"T. Sanders (2-12), D. Cowens (27-41)","C. Maxwell ,11.7",-4.800000000000011,29.028
119,1977-78,NBA,Boston Celtics,32,50,0.39,3rd of 5,-1.86,105.9,-0.8,99.1,-1.8,100.9,0.0,No,"T. Heinsohn (11-23), T. Sanders (21-27)","D. Cowens ,10.8",-1.8000000000000114,31.98
